respondent_id,persona,age_group,gender,city_tier,occupation,monthly_income,order_frequency,meal_type,cuisine_preference,dietary_preference,addon_preference,spend_per_order,max_delivery_fee,subscription_budget,payment_method,max_wait_time,importance_speed,importance_quality,importance_fee,importance_discounts,importance_tracking,switch_trigger,group_ordering,surge_attitude,current_apps,main_frustration,scheduled_delivery,data_comfort,switch_motivation,living_situation,cooking_frequency,order_triggers,festival_ordering,trust_concern,trust_builder,past_switching,churn_reason,food_attitude,discovery_channel,nps_score,complaint_behaviour,will_adopt_raw,will_adopt_binary,is_noisy
R0001,P2_Price_Sensitive_Student,18-24,Male,Tier-3,Student,Below 15k,Multiple times/week,Evening snacks|Late night|Lunch,Fast food,Non-vegetarian,Cold drink/Lassi|Dessert|No sides,200-400,0 (free only),Up to 49/month,UPI,20-30 min,5,2,4,5,2,Transparent fees,No always individual,Acceptable with notice,Swiggy|Zomato|None,High delivery fee,Maybe,Comfortable,Faster delivery|Friend referral,Nuclear family,Never,Too tired,No specific pattern,No refund,News/media,Never used,Friend recommendation,Foodie explorer,Search by cuisine,4,Contact support,Likely will use,1,0
R0002,P6_Senior_Homemaker,55+,Female,Metro,Homemaker,30k-60k,Never,Lunch|Dinner|Late night,North Indian|South Indian,No preference,No sides,400-700,Up to 15,Not interested,Debit card,45-60 min,2,4,5,2,3,Scheduled delivery,Rarely,Acceptable if justified,Swiggy|Zomato|None,High delivery fee,Probably not,Neutral,Faster delivery|Heavy discounts,With roommates,Every meal,Weekend mood|Guests at home,Eid|Durga Puja,No concerns,Friend recommendation,Use multiple apps,Bad deliveries,Food as fuel,Friends/WhatsApp,3,Do nothing,Unlikely to use,0,0
R0003,P4_Tier2_Explorer,25-34,Male,Tier-3,Salaried (govt),30k-60k,Once a week,Lunch|Late night,Pizza|Chinese/Indo-Chinese|Beverages/Chai,Jain,Cold drink/Lassi|No sides,400-700,Up to 15,Not interested,Cash on delivery,45-60 min,3,3,3,3,3,Transparent fees,Yes occasionally,Strongly dislike,Zomato|Swiggy|Direct restaurant,Hidden charges,Maybe,Not at all,Friend referral|Heavy discounts,Alone (PG/hostel),Sometimes 3-4/week,Too tired|Festival/celebration|Weekend mood,No festival ordering,Unreliable delivery|Data/privacy,Big discount,Never used,App bugs,Food as fuel,Instagram/YouTube,5,Leave bad review,Unlikely to use,0,1
R0004,P3_Family_Weekend_Orderer,45-54,Female,Metro,Self-employed,30k-60k,Once a week,Dinner|Late night,Biryani,Non-vegetarian,Raita/Chutney,400-700,Up to 50,50-99/month,Debit card,30-45 min,4,5,3,3,3,Transparent fees,Yes regularly,Would switch apps,Swiggy|Zomato,App crashes,Yes regularly,Comfortable,Heavy discounts|Loyalty rewards,Nuclear family,Sometimes 3-4/week,Watching match/movie|Weekend mood,Holi|Navratri|Durga Puja,Payment fraud|Food quality,News/media,Never switched,App bugs,Food as fuel,Friends/WhatsApp,8,Request refund,Unlikely to use,0,0
R0005,P1_Urban_Professional,18-24,Male,Metro,Self-employed,Above 1L,Daily,Late night|Lunch|Dinner,Fast food|North Indian|Desserts,Non-vegetarian,Papad,400-700,Up to 30,200+/month,Credit card,20-30 min,5,4,2,4,4,Better discounts,Yes regularly,Acceptable with notice,Dunzo|Swiggy|ONDC,Wrong/cold food,Probably not,Comfortable,Heavy discounts,With roommates,Every meal,Working late,Navratri|Diwali,Food quality|Unreliable delivery,Big discount,Use multiple apps,Bad deliveries,Health conscious|Food as fuel,Browsing ratings,9,Do nothing,Likely will use,1,0
R0006,P1_Urban_Professional,25-34,Male,Metro,Salaried (private),15k-30k,Daily,Dinner|Late night,Pizza|Biryani,Non-vegetarian,Cold drink/Lassi|Salad,400-700,Up to 50,200+/month,UPI,Under 20 min,4,5,3,2,3,More restaurants,Yes occasionally,Would switch apps,Dunzo,Late deliveries,Maybe,Not at all,Faster delivery|Loyalty rewards,Joint family,Sometimes 3-4/week,Watching match/movie,Navratri|Durga Puja|No festival ordering,Food quality|Data/privacy,Big discount,Never switched,Friend recommendation,Foodie explorer|Food as fuel,App recommendation,10,Contact support,Unlikely to use,0,0
R0007,P1_Urban_Professional,25-34,Female,Tier-3,Salaried (private),60k-1L,Multiple times/week,Breakfast|Lunch|Evening snacks,Fast food|Biryani,Non-vegetarian,Cold drink/Lassi|Salad|Extra roti/naan,100-200,Up to 30,50-99/month,UPI,Under 20 min,5,3,3,2,3,Better discounts|Faster delivery,Yes regularly,Acceptable if justified,Zomato|Swiggy|ONDC,No restaurants nearby,Yes occasionally,Comfortable,Loyalty rewards|Faster delivery,Alone (PG/hostel),Sometimes 3-4/week,Working late|Craving specific dish,Diwali,Food quality,Friend recommendation,Switched and stayed,Friend recommendation,Food as fuel|Health conscious,App recommendation,9,Contact support,Definitely will use,1,0
R0008,P5_Health_Conscious,25-34,Female,Metro,Salaried (private),60k-1L,Multiple times/week,Late night|Dinner|Lunch,Healthy/Salads|North Indian,Fasting-friendly,Papad|No sides|Extra roti/naan,700-1200,0 (free only),100-199/month,UPI,20-30 min,3,5,2,2,3,Subscription plan,Yes regularly,Acceptable with notice,Swiggy|Direct restaurant,Poor support,Yes regularly,Comfortable,Heavy discounts|Faster delivery,Nuclear family,Sometimes 3-4/week,Too tired|Festival/celebration|Working late,Christmas/New Year|Navratri,Unreliable delivery|Food quality,Big discount,Use multiple apps,Restaurant left,Health conscious,App recommendation,8,Contact support,Likely will use,1,0
R0009,P3_Family_Weekend_Orderer,35-44,Female,Tier-2,Homemaker,60k-1L,Once a week,Lunch|Dinner,South Indian,Non-vegetarian,Raita/Chutney|Dessert|Papad,400-700,Up to 30,100-199/month,UPI,45-60 min,3,5,4,3,4,More restaurants|Faster delivery,Yes occasionally,Would wait,Zomato|Swiggy|Direct restaurant,Hidden charges,Yes occasionally,Comfortable,Friend referral,Nuclear family,Sometimes 3-4/week,Raining/bad weather|Craving specific dish|Festival/celebration,Navratri,Unreliable delivery|Payment fraud,Money-back guarantee,Never switched,Restaurant left,Foodie explorer,Friends/WhatsApp,7,Contact support,Likely will use,1,0
R0010,P4_Tier2_Explorer,25-34,Female,Tier-2,Student,Below 15k,2-3 times/month,Lunch|Dinner|Late night,Pizza|Chinese/Indo-Chinese,Pure vegetarian,Cold drink/Lassi|Salad,Under 100,Up to 30,Up to 49/month,UPI,Over 60 min,3,4,4,5,4,Better discounts,Yes regularly,Strongly dislike,Swiggy,Wrong/cold food,No,Neutral,Friend referral|Heavy discounts,Joint family,Every meal,Craving specific dish|Festival/celebration,Holi,Payment fraud,Friend recommendation,Never used,Better discounts elsewhere,Foodie explorer,Friends/WhatsApp,9,Request refund,Neutral/unsure,0,0
